"","data","Freq"
"278","does_vbz",4672
"279","manner_nn",4649
"280","told_vbd",4618
"281","long_rb",4584
"282","brother_nn",4549
"283","whether_in",4548
"284","round_nn",4509
"285","'ve_vbp",4495
"286","least_jjs",4494
"287","voice_nn",4488
"288","girl_nn",4482
"289","together_rb",4482
"290","down_rb",4416
"291","taken_vbn",4414
"292","best_jjs",4406
"293","money_nn",4394
"294","matter_nn",4358
"295","found_vbd",4329
"296","each_dt",4300
"297","new_jj",4283
"298","sister_nn",4277
"299","person_nn",4247
"300","lord_nnp",4211
"301","say_vbp",4192
"302","began_vbd",4181
"303","present_jj",4168
"304","'m_vbp",4129
"305","given_vbn",4124
"306","got_vbd",4116
"307","towards_in",4111
"308","mrs_nnp",4109
"309","whose_wp$",4046
"310","well_uh",4030
"311","so_in",4017
"312","says_vbz",4009
"313","'d_md",3967
"314","find_vb",3940
"315","happy_jj",3906
"316","really_rb",3897
"317","hear_vb",3894
"318","whole_jj",3887
"319","see_vbp",3881
"320","child_nn",3880
"321","__nn",3858
"322","days_nns",3853
"323","friends_nns",3847
"324","husband_nn",3842
"325","next_jj",3837
"326","kind_nn",3836
"327","end_nn",3825
"328","often_rb",3812
"329","among_in",3798
"330","sat_vbd",3769
"331","boy_nn",3737
"332","sort_nn",3730
"333","stood_vbd",3726
"334","uncle_nn",3634
"335","speak_vb",3624
"336","turned_vbd",3620
"337","ca_md",3613
"338","reason_nn",3522
"339","keep_vb",3511
"340","business_nn",3497
"341","heard_vbn",3483
"342","country_nn",3460
"343","air_nn",3458
"344","hour_nn",3439
"345","cried_vbd",3426
"346","full_jj",3422
"347","evening_nn",3420
"348","known_vbn",3382
"349","else_rb",3369
"350","small_jj",3365
"351","'_pos",3362
"352","alone_rb",3362
"353","honor_nn",3359
"354","hope_vbp",3352
"355","chapter_nn",3348
"356","want_vbp",3330
"357","yourself_prp",3321
"358","also_rb",3313
"359","coming_vbg",3299
"360","ought_md",3296
"361","thou_nn",3295
"362","certain_jj",3267
"363","true_jj",3251
"364","returned_vbd",3241
"365","left_vbd",3215
"366","case_nn",3209
"367","within_in",3172
"368","already_rb",3171
"369","ask_vb",3155
"370","certainly_rb",3153
"371","thus_rb",3145
"372","leave_vb",3143
"373","everything_nn",3095
"374","daughter_nn",3088
"375","question_nn",3079
"376","short_jj",3041
"377","women_nns",3033
"378","others_nns",3025
"379","master_nn",3010
"380","heard_vbd",3007
"381","pleasure_nn",2987
"382","son_nn",2983
"383","god_nnp",2975
"384","up_rb",2969
"385","times_nns",2961
"386","therefore_rb",2952
"387","making_vbg",2943
"388","nature_nn",2931
"389","work_nn",2910
"390","hardly_rb",2907
"391","sense_nn",2900
"392","large_jj",2897
"393","themselves_prp",2888
"394","taking_vbg",2872
"395","behind_in",2857
"396","first_rb",2850
"397","power_nn",2836
"398","doubt_nn",2830
"399","strong_jj",2826
"400","put_vbd",2822
"401","madame_nnp",2819
"402","'re_vbp",2818
"403","truth_nn",2815
"404","company_nn",2811
"405","table_nn",2811
"406","like_vb",2782
"407","less_jjr",2781
"408","high_jj",2776
"409","put_vb",2775
"410","left_vbn",2774
"411","opinion_nn",2770
"412","fellow_nn",2752
"413","occasion_nn",2752
"414","possible_jj",2728
"415","eye_nn",2717
"416","character_nn",2704
"417","spoke_vbd",2700
"418","point_nn",2693
"419","ladies_nns",2684
"420","suppose_vbp",2681
"421","white_jj",2681
"422","ready_jj",2678
"423","near_in",2677
"424","had_vbn",2650
"425","sometimes_rb",2642
"426","bad_jj",2631
"427","o_nn",2624
"428","town_nn",2618
"429","believe_vbp",2608
"430","before_rb",2606
"431","body_nn",2579
"432","pretty_rb",2563
"433","state_nn",2563
"434","bed_nn",2555
"435","idea_nn",2553
"436","creature_nn",2547
"437","able_jj",2546
"438","london_nnp",2546
"439","light_nn",2539
"440","account_nn",2534
"441","help_vb",2528
"442","aunt_nn",2525
"443","look_nn",2519
"444","afraid_jj",2498
"445","fire_nn",2494
"446","glad_jj",2493
"447","phineas_nnp",2491
"448","subject_nn",2480
"449","got_vbn",2479
"450","called_vbn",2475
"451","brought_vbn",2474
"452","saying_vbg",2473
"453","children_nns",2469
"454","thee_nn",2450
"455","fact_nn",2445
"456","above_in",2444
"457","fine_jj",2439
"458","deal_nn",2437
"459","wo_md",2436
"460","black_jj",2433
"461","open_jj",2404
"462","rest_nn",2395
"463","told_vbn",2391
"464","chair_nn",2385
"465","wish_vbp",2382
"466","arthur_nnp",2379
"467","dark_jj",2372
"468","thought_vbn",2355
"469","pickwick_nnp",2354
"470","walked_vbd",2354
"471","arm_nn",2352
"472","tom_nnp",2351
"473","believe_vb",2342
"474","john_nnp",2340
"475","said_vbn",2340
"476","answer_nn",2338
"477","soul_nn",2328
"478","itself_prp",2327
"479","one_nn",2310
"480","low_jj",2301
"481","call_vb",2296
"482","general_jj",2289
"483","tone_nn",2289
"484","doing_vbg",2277
"485","gentlemen_nns",2272
"486","appeared_vbd",2267
"487","answered_vbn",2260
"488","wanted_vbd",2256
"489","found_vbn",2253
"490","arms_nns",2251
"491","added_vbd",2249
"492","conversation_nn",2246
"493","interest_nn",2242
"494","order_nn",2236
"495","no_rb",2229
"496","year_nn",2220
"497","ah_uh",2217
"498","four_cd",2211
"499","silence_nn",2209
"500","death_nn",2205
"501","dinner_nn",2205
"502","right_jj",2198
"503","continued_vbd",2190
"504","only_jj",2190
"505","usual_jj",2187
"506","most_jjs",2181
"507","strange_jj",2178
"508","__cd",2157
"509","knows_vbz",2157
"510","feeling_nn",2154
"511","during_in",2141
"512","no_uh",2137
"513","purpose_nn",2137
"514","bring_vb",2131
"515","hair_nn",2124
"516","window_nn",2122
"517","mine_nn",2121
"518","none_nn",2102
"519","became_vbd",2099
"520","bear_vb",2097
"521","hours_nns",2087
"522","about_rb",2085
"523","fell_vbd",2084
"524","feel_vb",2073
"525","seeing_vbg",2072
"526","trouble_nn",2070
"527","captain_nnp",2068
"528","jones_nnp",2063
"529","until_in",2050
"530","o_nnp",2048
"531","feet_nns",2046
"532","nobody_nn",2040
"533","five_cd",2039
"534","means_nns",2039
"535","please_vb",2033
"536","lovelace_nnp",2022
"537","party_nn",2022
"538","ground_nn",2016
"539","thought_nn",2008
"540","duty_nn",2007
"541","dead_jj",2003
"542","brought_vbd",1996
"543","several_jj",1995
"544","better_rbr",1992
"545","seems_vbz",1990
"546","different_jj",1988
"547","care_nn",1987
"548","newman_nnp",1981
"549","right_rb",1969
"550","turning_vbg",1957
"551","mean_vb",1955
"552","want_vb",1955
"553","favor_nn",1954
"554","afterwards_rb",1953
"555","feelings_nns",1952
"556","marry_vb",1947
"557","understand_vb",1946
"558","suddenly_rb",1945
"559","write_vb",1943
"560","lips_nns",1937
"561","sight_nn",1935
"562","besides_in",1929
"563","second_jj",1922
"564","thoughts_nns",1922
"565","spirit_nn",1918
"566","appearance_nn",1916
"567","lay_vbd",1914
"568","..._:",1913
"569","mean_vbp",1911
"570","necessary_jj",1906
"571","whatever_wdt",1903
"572","pen_nnp",1902
"573","hundred_cd",1901
"574","thinking_vbg",1899
"575","marriage_nn",1896
"576","cousin_nn",1885
"577","forward_rb",1885
"578","use_nn",1883
"579","story_nn",1874
"580","natural_jj",1870
"581","wrong_jj",1870
"582","live_vb",1869
"583","beyond_in",1864
"584","silent_jj",1863
"585","minutes_nns",1859
"586","passed_vbd",1858
"587","sake_nn",1858
"588","tears_nns",1856
"589","smile_nn",1854
"590","except_in",1842
"591","talk_vb",1842
"592","george_nnp",1840
"593","immediately_rb",1840
"594","water_nn",1838
"595","right_nn",1836
"596","used_vbd",1835
"597","letters_nns",1829
"598","little_rb",1819
"599","passed_vbn",1819
"600","circumstances_nns",1805
"601","obliged_vbn",1804
"602","presence_nn",1798
"603","quiet_jj",1795
"604","down_in",1793
"605","hard_jj",1781
"606","fortune_nn",1780
"607","particular_jj",1779
"608","called_vbd",1765
"609","nicholas_nnp",1761
"610","sorry_jj",1754
"611","attention_nn",1745
"612","half_pdt",1740
"613","sitting_vbg",1739
"614","easy_jj",1735
"615","along_in",1727
"616","comes_vbz",1724
"617","cold_jj",1719
"618","thy_nn",1714
"619","duke_nnp",1713
"620","tell_vbp",1709
"621","worse_jjr",1709
"622","effect_nn",1707
"623","happiness_nn",1698
"624","hope_nn",1695
"625","probably_rb",1692
"626","put_vbn",1690
"627","married_vbn",1689
"628","up_in",1684
"629","giving_vbg",1675
"630","common_jj",1672
"631","horse_nn",1672
"632","view_nn",1660
"633","\*_sym",1655
"634","week_nn",1654
"635","late_jj",1647
"636","cause_nn",1645
"637","lost_vbn",1644
"638","kept_vbd",1642
"639","show_vb",1638
"640","sit_vb",1636
"641","impossible_jj",1627
"642","meet_vb",1622
"643","thousand_cd",1618
"644","fear_nn",1606
"645","laura_nnp",1602
"646","opportunity_nn",1602
"647","used_vbn",1602
"648","fair_jj",1601
"649","held_vbd",1586
"650","deep_jj",1580
"651","wish_vb",1576
"652","'em_prp",1575
"653","visit_nn",1575
"654","return_nn",1570
"655","back_nn",1567
"656","wished_vbd",1558
"657","knowledge_nn",1556
"658","across_in",1546
"659","clear_jj",1546
"660","written_vbn",1544
"661","set_vbn",1541
"662","length_nn",1539
"663","neither_dt",1538
"664","hat_nn",1537
"665","likely_jj",1537
"666","perfectly_rb",1532
"667","talking_vbg",1532
"668","figure_nn",1530
"669","angry_jj",1528
"670","age_nn",1526
"671","beautiful_jj",1523
"672","come_vbp",1521
"673","isabel_nnp",1521
"674","position_nn",1519
"675","send_vb",1519
"676","read_vb",1518
"677","getting_vbg",1513
"678","ralph_nnp",1508
"679","real_jj",1505
"680","stay_vb",1498
"681","try_vb",1498
"682","rose_vbd",1495
"683","road_nn",1494
"684","expression_nn",1493
"685","pay_vb",1486
"686","pride_nn",1481
"687","honest_jj",1478
"688","former_jj",1477
"689","service_nn",1476
"690","fanny_nnp",1475
"691","although_in",1474
"692","makes_vbz",1470
"693","__rb",1468
"694","six_cd",1468
"695","church_nn",1466
"696","half_nn",1463
"697","object_nn",1461
"698","comfort_nn",1456
"699","servant_nn",1456
"700","human_jj",1455
"701","greater_jjr",1454
"702","heavy_jj",1452
"703","slowly_rb",1452
"704","turn_vb",1447
"705","free_jj",1445
"706","companion_nn",1444
"707","met_vbd",1434
"708","carriage_nn",1431
"709","england_nnp",1431
"710","pity_nn",1431
"711","corner_nn",1428
"712","__vbp",1426
"713","unless_in",1426
"714","sound_nn",1422
"715","de_in",1418
"716","acquaintance_nn",1413
"717","months_nns",1413
"718","worthy_jj",1412
"719","go_vbp",1411
"720","chance_nn",1410
"721","pleasant_jj",1410
"722","house_nnp",1407
"723","maggie_nnp",1403
"724","knowing_vbg",1402
"725","entered_vbd",1399
"726","glass_nn",1398
"727","remember_vb",1397
"728","suppose_vb",1395
"729","confidence_nn",1393
"730","distance_nn",1393
"731","nearly_rb",1393
"732","spirits_nns",1393
"733","altogether_rb",1391
"734","while_nn",1387
"735","less_rbr",1385
"736","seat_nn",1385
"737","private_jj",1378
"738","remained_vbd",1378
"739","proper_jj",1375
"740","art_nn",1372
"741","ran_vbd",1372
"742","book_nn",1371
"743","instead_rb",1369
"744","further_jj",1368
"745","beauty_nn",1357
"746","street_nn",1354
"747","everybody_nn",1351
"748","red_jj",1350
"749","twenty_cd",1349
"750","james_nnp",1348
"751","mouth_nn",1348
"752","especially_rb",1344
"753","mary_nnp",1335
"754","stand_vb",1335
"755","laugh_nn",1332
"756","fond_jj",1330
"757","ago_rb",1329
"758","spoken_vbn",1329
"759","sweet_jj",1328
"760","presently_rb",1326
"761","conduct_nn",1325
"762","finn_nnp",1323
"763","expected_vbn",1319
"764","foot_nn",1317
"765","out_rb",1314
"766","answer_vb",1313
"767","perfect_jj",1313
"768","wait_vb",1313
"769","otherwise_rb",1312
"770","paper_nn",1312
"771","answered_vbd",1311
"772","observed_vbd",1310
"773","madam_nnp",1304
"774","change_nn",1293
"775","hold_vb",1293
"776","love_vb",1293
"777","received_vbn",1289
"778","unhappy_jj",1288
"779","passion_nn",1287
"780","countenance_vbp",1285
"781","rich_jj",1283
"782","__vb",1282
"783","light_jj",1281
"784","followed_vbd",1279
"785","situation_nn",1279
"786","opened_vbd",1275
"787","persons_nns",1275
"788","sent_vbn",1275
"789","sam_nnp",1273
"790","generally_rb",1271
"791","shook_vbd",1268
"792","sudden_jj",1268
"793","blood_nn",1267
"794","affection_nn",1266
"795","adam_nnp",1262
"796","forth_rb",1260
"797","thank_vb",1260
"798","waiting_vbg",1260
"799","bit_nn",1259
"800","jane_nnp",1259
"801","return_vb",1254
"802","easily_rb",1252
"803","drew_vbd",1251
"804","papa_nn",1251
"805","remember_vbp",1251
"806","colonel_nnp",1249
"807","exactly_rb",1247
"808","public_jj",1247
"809","anybody_nn",1246
"810","entirely_rb",1246
"811","mere_jj",1245
"812","enough_jj",1242
"813","howe_nnp",1239
"814","news_nn",1239
"815","speech_nn",1237
"816","respect_nn",1232
"817","garden_nn",1231
"818","putting_vbg",1230
"819","condition_nn",1229
"820","step_nn",1229
"821","desire_nn",1228
"822","make_vbp",1227
"823","doctor_nn",1226
"824","society_nn",1225
"825","care_vb",1223
"826","anxious_jj",1220
"827","aware_jj",1220
"828","leaving_vbg",1220
"829","loved_vbd",1217
"830","speaking_vbg",1215
"831","carry_vb",1214
"832","form_nn",1213
"833","afternoon_nn",1212
"834","stopped_vbd",1211
"835","surely_rb",1210
"836","single_jj",1207
"837","either_dt",1206
"838","matters_nns",1206
"839","earth_nn",1205
"840","agreeable_jj",1203
"841","toby_nnp",1201
"842","handsome_jj",1200
"843","journey_nn",1196
"844","advantage_nn",1195
"845","danger_nn",1194
"846","noble_jj",1194
"847","office_nn",1193
"848","received_vbd",1193
"849","pass_vb",1189
"850","standing_vbg",1189
"851","proud_jj",1187
"852","m._nnp",1186
"853","pain_nn",1185
"854","turn_nn",1185
"855","showed_vbd",1178
"856","harlowe_nnp",1177
"857","mind_vb",1177
"858","charming_jj",1172
"859","strength_nn",1168
"860","wall_nn",1167
"861","notice_nn",1165
"862","wrote_vbd",1165
"863","justice_nn",1164
"864","fault_nn",1162
"865","dress_nn",1161
"866","rate_nn",1155
"867","horses_nns",1152
"868","glance_nn",1148
"869","scene_nn",1146
"870","youth_nn",1144
"871","ha_nn",1140
"872","difficulty_nn",1133
"873","meant_vbd",1133
"874","regard_nn",1133
"875","walking_vbg",1129
"876","history_nn",1126
"877","o'clock_rb",1125
"878","sun_nn",1124
"879","piece_nn",1123
"880","love_vbp",1119
"881","reader_nn",1118
"882","excellent_jj",1117
"883","talk_nn",1117
"884","surprise_nn",1116
"885","wild_jj",1116
"886","greatest_jjs",1115
"887","servants_nns",1115
"888","note_nn",1114
"889","engaged_vbn",1113
"890","hopes_nns",1113
"891","exclaimed_vbd",1110
"892","sex_nn",1110
"893","bright_jj",1109
"894","expect_vb",1109
"895","fixed_vbn",1109
"896","yours_nns",1106
"897","law_nn",1105
"898","big_jj",1102
"899","scarcely_rb",1102
"900","affair_nn",1099
"901","behavior_nn",1097
"902","stranger_nn",1094
"903","line_nn",1091
"904","forget_vb",1089
"905","laughed_vbd",1089
"906","temper_nn",1087
"907","minute_nn",1086
"908","particularly_rb",1086
"909","breakfast_nn",1084
"910","supposed_vbn",1082
"911","walk_vb",1082
"912","kept_vbn",1080
"913","determined_vbn",1079
"914","satisfaction_nn",1078
"915","school_nn",1077
"916","books_nns",1075
"917","pocket_nn",1075
"918","ears_nns",1070
"919","directly_rb",1069
"920","away_rp",1068
"921","health_nn",1068
"922","dorrit_nnp",1066
"923","slight_jj",1065
"924","breath_nn",1063
"925","consequence_nn",1063
"926","kindness_nn",1063
"927","pounds_nns",1063
"928","allow_vb",1060
"929","receive_vb",1060
"930","joy_nn",1058
"931","sent_vbd",1058
"932","serious_jj",1058
"933","early_jj",1057
"934","liked_vbd",1057
"935","property_nn",1057
"936","sad_jj",1049
"937","crawley_nnp",1048
"938","over_rp",1048
"939","ill_jj",1047
"940","strether_nnp",1046
"941","tis_fw",1044
"942","catherine_nnp",1042
"943","doctor_nnp",1042
"944","french_jj",1042
"945","broke_vbd",1041
"946","tried_vbd",1040
"947","follow_vb",1038
"948","mistress_nn",1036
"949","degree_nn",1035
"950","ladyship_nn",1035
"951","wish_nn",1035
"952","off_rb",1032
"953","steps_nns",1031
"954","personal_jj",1029
"955","simply_rb",1028
"956","smiling_vbg",1027
"957","either_cc",1024
"958","clennam_nnp",1022
"959","lived_vbd",1020
"960","feel_vbp",1019
"961","pardon_nn",1019
"962","latter_jj",1018
"963","worth_jj",1018
"964","nickleby_nnp",1016
"965","consider_vb",1015
"966","die_vb",1014
"967","coat_nn",1013
"968","past_jj",1012
"969","struck_vbd",1011
"970","wine_nn",1011
"971","become_vbn",1010
"972","inquired_vbd",1005
"973","like_vbp",1004
"974","neck_nn",1002
"975","safe_jj",1002
"976","number_nn",1001
"977","pleased_jj",1000
"978","take_vbp",1000
"979","turned_vbn",999
"980","dearest_jjs",995
"981","possibly_rb",995
"982","sooner_rbr",995
"983","twice_rb",994
"984","close_rb",993
"985","lydgate_nnp",992
"986","greatly_rb",991
"987","tea_nn",991
"988","goes_vbz",989
"989","slope_nnp",988
"990","street_nnp",988
"991","legs_nns",986
"992","sophia_nnp",986
"993","terms_nns",986
"994","become_vb",984
"995","i._nn",984
"996","weller_nnp",984
"997","carried_vbd",983
"998","fresh_jj",983
"999","on_rp",982
"1000","yet_cc",982
"1001","pale_jj",978
"1002","gate_nn",975
"1003","save_vb",975
"1004","force_nn",974
"1005","influence_nn",974
"1006","wind_nn",973
"1007","quickly_rb",972
"1008","reasons_nns",972
"1009","taste_nn",972
"1010","either_rb",971
"1011","passing_vbg",970
"1012","fool_nn",969
"1013","set_vb",969
"1014","somebody_nn",969
"1015","somewhat_rb",969
"1016","trying_vbg",969
"1017","floor_nn",968
"1018","off_in",968
"1019","miles_nns",967
"1020","widow_nn",967
"1021","english_nnp",965
"1022","speak_vbp",965
"1023","simple_jj",964
"1024","waverley_nnp",963
"1025","difficult_jj",961
"1026","success_nn",961
"1027","threw_vbd",961
"1028","spite_nn",960
"1029","give_vbp",959
"1030","affairs_nns",957
"1031","asked_vbn",957
"1032","chiltern_nnp",957
"1033","reply_nn",957
"1034","pendennis_nnp",956
"1035","girls_nns",955
"1036","direction_nn",954
"1037","nose_nn",954
"1038","generous_jj",953
"1039","poor_nnp",952
"1040","talked_vbd",952
"1041","advice_nn",951
"1042","green_jj",951
"1043","shoulder_nn",951
"1044","spot_nn",951
"1045","walk_nn",947
"1046","sea_nn",946
"1047","appear_vb",945
"1048","telling_vbg",944
"1049","difference_nn",941
"1050","laid_vbn",941
"1051","loss_nn",941
"1052","action_nn",939
"1053","clothes_nns",939
"1054","delight_nn",939
"1055","memory_nn",939
"1056","weeks_nns",937
"1057","jude_nnp",936
"1058","relations_nns",936
"1059","sunday_nnp",936
"1060","dorothea_nnp",935
"1061","virtue_nn",935
"1062","happened_vbd",934
"1063","intention_nn",932
"1064","river_nn",931
"1065","miserable_jj",930
"1066","believed_vbd",929
"1067","devil_nn",929
"1068","emma_nnp",928
"1069","court_nn",927
"1070","bound_vbn",925
"1071","call_vbp",925
"1072","oliver_nnp",925
"1073","wicked_jj",925
"1074","to-morrow_nn",924
"1075","gray_jj",923
"1076","lying_vbg",923
"1077","run_vb",923
"1078","belford_nnp",922
"1079","break_vb",922
"1080","major_nnp",922
"1081","consideration_nn",921
"1082","leave_nn",921
"1083","moved_vbd",921
"1084","peace_nn",921
"1085","soames_nnp",921
"1086","dare_vbp",920
"1087","laughing_vbg",917
"1088","declared_vbd",916
"1089","extremely_rb",915
"1090","rising_vbg",915
"1091","dog_nn",914
"1092","gentle_jj",914
"1093","vain_jj",914
"1094","pleased_vbn",913
"1095","questions_nns",913
"1096","instantly_rb",912
"1097","liberty_nn",912
"1098","st._nnp",912
"1099","forgotten_vbn",910
"1100","yesterday_nn",909
"1101","keeping_vbg",908
"1102","stairs_nns",908
"1103","heaven_nnp",907
"1104","pair_nn",907
"1105","land_nn",906
"1106","ear_nn",905
"1107","instant_nn",905
"1108","edward_nnp",904
"1109","goodness_nn",904
"1110","seem_vb",904
"1111","thrown_vbn",904
"1112","resolved_vbn",903
"1113","below_in",902
"1114","master_nnp",902
"1115","ashamed_jj",900
"1116","coach_nn",897
"1117","smiled_vbd",897
"1118","worst_jjs",897
"1119","born_vbn",896
"1120","find_vbp",896
"1121","pray_nn",896
"1122","warm_jj",896
"1123","jack_nnp",893
"1124","finding_vbg",892
"1125","innocent_jj",891
"1126","holding_vbg",890
"1127","looks_vbz",890
"1128","parents_nns",889
"1129","kim_nnp",887
"1130","absolutely_rb",886
"1131","drawn_vbn",885
"1132","begin_vb",884
"1133","blue_jj",884
"1134","in_rp",884
"1135","soft_jj",884
"1136","mentioned_vbn",882
"1137","cruel_jj",880
"1138","impression_nn",880
"1139","stop_vb",878
"1140","according_vbg",877
"1141","thinks_vbz",877
"1142","verena_nnp",877
"1143","de_nnp",876
"1144","hoped_vbd",876
"1145","papers_nns",876
"1146","arrival_nn",875
"1147","reached_vbd",875
"1148","led_vbd",874
"1149","couple_nn",873
"1150","quietly_rb",873
"1151","allowed_vbn",872
"1152","village_nn",872
"1153","wants_vbz",868
"1154","considered_vbn",867
"1155","experience_nn",865
"1156","hot_jj",865
"1157","wonderful_jj",865
"1158","clarissa_nnp",864
"1159","squeers_nnp",863
"1160","absence_nn",862
"1161","box_nn",861
"1162","dr._nnp",861
"1163","third_jj",861
"1164","merely_rb",860
